parcel_id,hemisphere,parcel,n_voxels,mean_effect,median_effect,mean_z,minimum_z,maximum_z,percent_z_ge_3.1,percent_z_le_minus_3.1,absolute_mean_effect
11,Right,"Right Middle Temporal Gyrus, anterior division",88,-2.3747904300689697,-2.5321860313415527,-1.9099856615066528,-2.452465534210205,0.17512942850589752,0.0,0.0,2.3747904300689697
30,Right,"Right Cingulate Gyrus, posterior division",3727,0.9636018872261047,0.7875467538833618,0.9251395463943481,-2.54876971244812,2.8394806385040283,0.0,0.0,0.9636018872261047
46,Left,Left Planum Temporale,2242,-0.9522719383239746,-0.9625495672225952,-1.3012279272079468,-3.929828405380249,1.647641897201538,0.0,1.7395182872435324,0.9522719383239746
6,Left,"Left Inferior Frontal Gyrus, pars opercularis",2977,-0.9024650454521179,-0.9068006873130798,-1.1285384893417358,-3.095632791519165,1.9623959064483643,0.0,0.0,0.9024650454521179
32,Right,Right Cuneal Cortex,2916,0.8295105695724487,0.7515542507171631,1.052450180053711,-1.744610071182251,3.860508441925049,0.7544581618655692,0.0,0.8295105695724487
20,Right,"Right Supramarginal Gyrus, posterior division",2959,-0.7837516665458679,-0.6841791272163391,-1.2730358839035034,-5.193787574768066,3.3407089710235596,0.33795201081446435,14.599526867184858,0.7837516665458679
3,Right,Right Superior Frontal Gyrus,450,-0.7573358416557312,-0.7251031398773193,-0.9827687740325928,-2.7165284156799316,1.9028743505477905,0.0,0.0,0.7573358416557312
42,Right,Right Central Opercular Cortex,3768,0.7570475339889526,0.7016465067863464,1.0834985971450806,-2.2944791316986084,3.475526809692383,0.6900212314225054,0.0,0.7570475339889526
21,Right,Right Angular Gyrus,4348,-0.7378186583518982,-0.7481443881988525,-0.9875584840774536,-3.662418842315674,2.682523727416992,0.0,2.782888684452622,0.7378186583518982
1,Right,Right Frontal Pole,9845,0.7076698541641235,0.6730722784996033,0.7256370186805725,-3.2047064304351807,4.6324381828308105,1.8384966988318943,0.04062976130015236,0.7076698541641235
48,Right,Right Occipital Pole,10229,0.6661603450775146,0.4694320261478424,0.639695405960083,-1.8401416540145874,3.2960479259490967,0.10753739368462216,0.0,0.6661603450775146
40,Left,Left Occipital Fusiform Gyrus,3846,0.6569931507110596,0.603310227394104,1.0035954713821411,-2.4827046394348145,3.808100938796997,0.18200728029121163,0.0,0.6569931507110596
40,Right,Right Occipital Fusiform Gyrus,3694,0.6256692409515381,0.580420970916748,1.0827701091766357,-1.20278799533844,3.0473222732543945,0.0,0.0,0.6256692409515381
10,Right,"Right Superior Temporal Gyrus, posterior division",3483,-0.6239387392997742,-0.6019534468650818,-0.907360315322876,-3.7125415802001953,2.724787950515747,0.0,1.0910134941142693,0.6239387392997742
27,Left,Left Subcallosal Cortex,1733,-0.6052055954933167,-0.4157712459564209,-0.5359348654747009,-3.5179243087768555,1.9149824380874634,0.0,0.5770340450086555,0.6052055954933167
9,Right,"Right Superior Temporal Gyrus, anterior division",575,-0.5948382019996643,-0.376664400100708,-0.6898590326309204,-2.8135933876037598,1.825749397277832,0.0,0.0,0.5948382019996643
46,Right,Right Planum Temporale,1704,-0.5504640936851501,-0.4671125113964081,-0.8467908501625061,-3.2321670055389404,2.8388748168945312,0.0,0.2347417840375587,0.5504640936851501
36,Left,Left Lingual Gyrus,6706,0.5187129974365234,0.5281771421432495,0.7439484000205994,-3.136742353439331,3.8059213161468506,0.9394572025052191,0.029824038174768867,0.5187129974365234
30,Left,"Left Cingulate Gyrus, posterior division",3437,0.5047227740287781,0.4515835642814636,0.4598066508769989,-2.8945655822753906,3.5945017337799072,0.11638056444573756,0.0,0.5047227740287781
6,Right,"Right Inferior Frontal Gyrus, pars opercularis",2605,-0.4844924211502075,-0.5191245675086975,-0.7670947909355164,-4.235339641571045,3.0908203125,0.0,2.840690978886756,0.4844924211502075
32,Left,Left Cuneal Cortex,2276,0.48382568359375,0.42869335412979126,0.8070400953292847,-2.0958051681518555,3.389768123626709,0.17574692442882248,0.0,0.48382568359375
13,Right,"Right Middle Temporal Gyrus, temporooccipital part",4696,-0.48249897360801697,-0.4643136262893677,-0.6283966302871704,-4.489542484283447,2.459782600402832,0.0,3.705281090289608,0.48249897360801697
17,Right,Right Postcentral Gyrus,2332,0.4803769886493683,0.49634313583374023,0.7118494510650635,-2.0443637371063232,2.728870391845703,0.0,0.0,0.4803769886493683
36,Right,Right Lingual Gyrus,7623,0.4577568471431732,0.46650663018226624,0.6874265074729919,-2.297229766845703,3.1472384929656982,0.02623638987275351,0.0,0.4577568471431732
31,Left,Left Precuneous Cortex,5742,-0.4450382888317108,-0.3900500535964966,-0.5578643679618835,-3.6199660301208496,2.5906589031219482,0.0,0.43538836642284917,0.4450382888317108
45,Right,Right Heschl's Gyrus (includes H1 and H2),1210,-0.4437445402145386,-0.4287221431732178,-0.6564589142799377,-2.89190673828125,3.579979181289673,0.24793388429752067,0.0,0.4437445402145386
19,Right,"Right Supramarginal Gyrus, anterior division",1681,0.43553662300109863,0.4401412606239319,0.5806100964546204,-1.5820834636688232,2.6953437328338623,0.0,0.0,0.43553662300109863
47,Right,Right Supracalcarine Cortex,670,0.43455490469932556,0.4733429253101349,0.5471316576004028,-1.8139656782150269,2.7467262744903564,0.0,0.0,0.43455490469932556
34,Left,"Left Parahippocampal Gyrus, anterior division",52,-0.4293140172958374,-0.6016961336135864,-0.5916073322296143,-1.7976341247558594,1.0499119758605957,0.0,0.0,0.4293140172958374
1,Left,Left Frontal Pole,10483,0.4124641716480255,0.36921101808547974,0.4840908646583557,-2.883460283279419,3.17240571975708,0.009539254030334829,0.0,0.4124641716480255
27,Right,Right Subcallosal Cortex,1336,-0.39976775646209717,-0.3130105435848236,-0.33052363991737366,-3.053450107574463,2.3954250812530518,0.0,0.0,0.39976775646209717
2,Right,Right Insular Cortex,4991,0.39334484934806824,0.34239813685417175,0.5739060044288635,-2.9547317028045654,3.840820550918579,0.4407934281707073,0.0,0.39334484934806824
42,Left,Left Central Opercular Cortex,4139,0.3904726207256317,0.36501267552375793,0.6660688519477844,-2.3933379650115967,2.968374013900757,0.0,0.0,0.3904726207256317
11,Left,"Left Middle Temporal Gyrus, anterior division",455,-0.3883509933948517,-0.4218577444553375,-0.5273527503013611,-3.3776063919067383,1.924270510673523,0.0,1.098901098901099,0.3883509933948517
18,Left,Left Superior Parietal Lobule,18,-0.3654419183731079,-0.38129544258117676,-0.8169392347335815,-1.3830492496490479,-0.06368646025657654,0.0,0.0,0.3654419183731079
29,Left,"Left Cingulate Gyrus, anterior division",3749,0.3600282669067383,0.3972383141517639,0.5009613633155823,-3.0539944171905518,2.5697643756866455,0.0,0.0,0.3600282669067383
